"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 02 11:43:17 UTC 2020","Mon Nov 02 11:43:17 UTC 2020","2","Antelope","test_createaccount","","","","Запрос createaccount: несуществующая группа.","
    Описание шагов:
        Setup: создаём аккаунт с логином 100.
        Тест: отправляем запрос createaccount с group=alluretest - группы не существует на сервере
            Ожидаемый результат: result=-3&reason=Unable to get group 'alluretest': MT_RET_ERR_NOTFOUND&request_id=
        Tear down: удаление аккаунта
        "
"failed","Mon Nov 02 11:43:18 UTC 2020","Mon Nov 02 11:43:18 UTC 2020","17","Antelope","test_createaccountsinrange","","","","Запрос createaccountsinrange: некорректные значения в необязательных параметрах.","
    Описание шагов:
        Setup: -
        Тест:
            Шаг1: отправляем запрос createaccountsinrange с некорректным значением в параметре leverage
            Шаг2: отправляем запрос createaccountsinrange с некорректным значением в параметре agent
            Шаг3: отправляем запрос createaccountsinrange с некорректным значением в параметре enable
            Шаг4: отправляем запрос createaccountsinrange с некорректным значением в параметре enable_change_password
            Шаг5: отправляем запрос createaccountsinrange с некорректным значением в параметре enable_trading
            Шаг6: отправляем запрос createaccountsinrange с некорректным значением в параметре enable_trading_by_expert_advisors
            Шаг7: отправляем запрос createaccountsinrange с некорректным значением в параметре enable_web_api_connection
            Шаг8: отправляем запрос createaccountsinrange с некорректным значением в параметре enable_daily_report
            Шаг9: отправляем запрос createaccountsinrange с некорректным значением в параметре enable_change_password_at_next_login
            Шаг10: отправляем запрос createaccountsinrange с некорректным значением в параметре enable_one_time_password
            Шаг11: отправляем запрос createaccountsinrange с некорректным значением в параметре enable_trailing_stop
            Ожидаемый ответ:result=-3&reason=parsing_problem&request_id=

        Tear down: удаление аккаунта
    "
"passed","Mon Nov 02 11:43:12 UTC 2020","Mon Nov 02 11:43:12 UTC 2020","2","Antelope","test_changepassword","","","","Запрос changepassword: короткий пароль.","
    Описание шагов:
        Setup: Создаём аккаунт 100.
        Тест: отправляем запрос changepassword с pass = q2
            Ожидаемый результат: result=-4&reason=Unable change password, ret: MT_RET_USR_INVALID_PASSWORD&request_id=
        Tear down: удаление аккаунта
    "
"passed","Mon Nov 02 11:47:01 UTC 2020","Mon Nov 02 11:47:01 UTC 2020","6","Antelope","test_getpendingorders","","","","Запрос getpendingorders: проверка работы - есть открытые ордера.","
    Описание шагов:
        Setup: создаем 1 аккаунт
        Тест:
            Шаг1: Открываем пендинг
            Шаг2: Отправляем запрос getopenpositionsforlogin, проверяем ответ
        Tear down: удаляем позицию / ордер, удаляем аккаунт
        "
"passed","Mon Nov 02 11:43:30 UTC 2020","Mon Nov 02 11:43:30 UTC 2020","3","Antelope","test_getaccountswithpl","","","","Запрос getaccountswithpl: некорректные значения в параметрах.","
    Описание шагов:
        Setup: создаём аккаунт с логином 100
            - начисляем баланс 10.000.
            - вбрасываем котировку EURUSD 0,9/1,0
            - открываем позицию 0,01 лот buy - при таких настройках профит = - 100
        Тест:
            Шаг1: отправляем запрос getaccountswithpl с typeofcomparison=5
                Ожидаемый ответ: result=-3&reason=Invalid parameter typeofcomparison.&request_id=
            Шаг2: отправляем запрос getaccountswithpl с некорректным значением в typeofcomparison
            Шаг3: отправляем запрос getaccountswithpl с некорректным значением в value
                Ожидаемый ответ: result=-3&reason=parsing_problem&request_id=
        Tear down: закрываем позицию
            -удаляем аккаунт
    "
"passed","Mon Nov 02 11:46:01 UTC 2020","Mon Nov 02 11:46:01 UTC 2020","2","Antelope","test_getloginsbygroup","","","","Запрос getloginsbygroup: несуществующая группа.","
    Описание шагов:
        Тест:
            Шаг1: отправляем запрос getloginsbygroup с ошибкой в параметре group
            Шаг2: отправляем запрос getloginsbygroup без параметра group
        Ожидаемый результат: result=-3&reason=invalid params (required params are group)&request_id=
    "
"passed","Mon Nov 02 11:41:04 UTC 2020","Mon Nov 02 11:41:05 UTC 2020","1006","Antelope","test_changecredit","","","","Запрос changecredit: Попытка списать в минус.","
    Описание шагов:
        Setup:создаём аккаунт с логином 100.
        Тест:
            Шаг1: отправляю запрос changecredit на списание аккаунта 10.000.
                Ожидаемый ответ: result=-4&reason=Unable to change balance on 100 with value -10000, ret: MT_RET_REQUEST_NO_MONEY&login=100&request_id=
            Шаг2: проверка кредита аккаунта
        Tear down: удаление аккаунта
         "
"passed","Mon Nov 02 11:43:15 UTC 2020","Mon Nov 02 11:43:16 UTC 2020","1006","Antelope","test_closeposition","","","","Запрос closeposition: в перечне есть некорректное значение.","
    Описание шагов:
        Setup: создаём аккаунт с логином 100
            - пополняем ему баланс на 10.000.
            - открываем 2 позиции.
        Тест:
            Шаг1: отправляем запрос closeposition с некорректным значением позицией в перечне
            Шаг2: проверяем ответ на запрос
            Ожидаемый ответ:""result=1&reason=&failed_position=asd&size=8
                            pos1;
                            &request_id=""
            Шаг3: проверяем суцществующую сделку
            Шаг4: отправляем запросом closeposition с некорректным и не существующим значениями позиций в перечне.
            Ожмдаемый ответ: result=-4&reason=positions can not be closed&failed_position=706357;asd&size=0&request_id=
        Tear down: удаление аккаунта
    "
"failed","Mon Nov 02 11:43:17 UTC 2020","Mon Nov 02 11:43:17 UTC 2020","8","Antelope","test_createaccount","","","","Запрос createaccount: некорректные значения в необязательных параметрах.","
    Описание шагов:
        Setup: -
        Тест:
            Шаг1: отправляем запрос createaccount с leverage=asd
            Шаг2: отправляем запрос createaccount с agent=asd
            Шаг3: отправляем запрос createaccount с enable=asd
            Шаг4: отправляем запрос createaccount с enable_change_password=asd
            Шаг5: отправляем запрос createaccount с enable_trading=asd
            Шаг6: отправляем запрос createaccount с enable_trading_by_expert_advisors=asd
            Шаг7: отправляем запрос createaccount с enable_web_api_connection=asd
            Шаг8: отправляем запрос createaccount с enable_daily_report=asd
            Шаг9: отправляем запрос createaccount с enable_change_password_at_next_login=asd
            Шаг10: отправляем запрос createaccount с enable_one_time_password=asd
            Шаг11: отправляем запрос createaccount с enable_trailing_stop=asd
            Ожидаемый результат: result=-3&reason=parsing_problem&request_id=
        Tear down: удаление аккаунта
    "
"passed","Mon Nov 02 11:36:47 UTC 2020","Mon Nov 02 11:36:48 UTC 2020","1007","Antelope","test_balancefix","","","","Запрос balancefix: проверка работы - один логин.","
        Описание шагов:
            Setup: Создание аккаунтов с историей.
            Тест: запросом balancefix восстанавливаем баланс аккаунта и сравниваем с изначальным (0).
            Tear down: - аккаунты удаляются
    "
